family,genus,species,code,group,grp_name,sam_grp,crp,alias(i),introduced,perennial,woody,biennial,annual,graminoid,rhizomatous,photosynthetic_pathway,notes
Asteraceae,Gutierrezia,sarothrae,gusa,gusa,Gutierrezia sarothrae,NS,no,,no,yes,yes,no,no,no,no,c4,"not in any plots sampled in june 2022, observed near power lines at south edge"
Asteraceae,Ericameria,nauseosa,erna,erna,Ericameria nauseosa,NS,no,,no,yes,yes,no,no,no,no,c4,
Asteraceae,Heterotheca,villosa,hevi,hevi,Heterotheca villosa,NPF,no,,no,yes,no,no,no,no,no,c3,
Asteraceae,Helianthus,annuus,hean,hean,Helianthus annuus,NAF,no,,no,no,no,no,yes,no,no,c3,
Asteraceae,Stephanomeria,pauciflora,stpa,n_forbs,Native Forbs,NPF,no,,no,yes,no,no,no,no,no,c4,
Asteraceae,cf Aster,d_081_herb_05,assp,n_forbs,Native Forbs,NAF,no,,no,no,no,no,yes,no,no,c3,found in a few plots on 6/23 and 6/24
Asteraceae,Antennaria,sp.,ansp,ansp,Antennaria sp,NPF,no,,no,yes,no,no,no,no,yes,c4,did not occur in june 2022 plots
Asteraceae,Artemisia,arbuscula,arar,arar,Artemisia arbuscula,NS,no,,no,yes,yes,no,no,no,no,c4,did not occur in june 2022 plots
Chenopodiaceae,Atriplex,canescens,atca,atca,Atriplex canescens,Atriplex canescens,yes,,no,yes,yes,no,no,no,no,c4,
Chenopodiaceae,Chenopodium,berlandieri,chbe,n_forbs,Native Forbs,NAF,no,,no,no,no,no,yes,no,no,c4,
Malvaceae,Sphaerelcea,coccinea,spco,spco,Sphaerelcea coccinea,NPF,no,,no,yes,no,no,no,no,no,c4,
Papaveraceae,Argemone,cf hispida,arhi,arhi,Argemone cf hispida,NAF,no,,no,no,no,yes,no,no,no,c3,did not occur in june 2022 plots - need to go back and key
Poaceae,Bouteloua,curtipendula,bocu,bocu,Bouteloua curtipendula,Bouteloua curtipendula,yes,UPG2,no,yes,no,no,no,yes,no,c4,
Poaceae,Panicum,virgatum,sphe,pavi,Panicum virgatum,Panicum virgatum,yes,sporo?,no,yes,no,no,no,yes,no,c4,
Poaceae,Schizachyrium ,scoparium,upg4,scsc,Schizachyrium  scoparium,Schizachyrium  scoparium,yes,UPG4,no,yes,no,no,no,yes,no,c4,
Poaceae,Nassella,viridula,navi,navi,Nassella viridula,Nassella viridula,yes,,no,yes,no,no,no,yes,no,c4,
Poaceae,Pascopyrum,smithii,elre,pasm,Pascopyrum smithii,Pascopyrum smithii,yes,upg1; upg3; pasm; elre,no,yes,no,no,no,yes,yes,c3,
Poaceae,Bouteloua,gracilis,bogr,bogr,Bouteloua gracilis,Bouteloua gracilis,yes,,no,yes,no,no,no,yes,no,c4,
Poaceae,Elymus,elymoides,elel,elel,Elymus elymoides,NPG,no,,no,yes,no,no,no,yes,no,c3,
Solanaceae,Solanum,triflorum,sotr,n_forbs,Native Forbs,NAF,no,,no,no,no,no,yes,no,no,c3,
unknown,Perennial_forb,d_012_herb_01,upf_12,n_forbs,Native Forbs,NPF,no,upf_12,no,yes,no,no,no,no,no,c3,"linear, alternate leaves, 1-2 mm wide. Stout but not woody stems that die back like medicago sativa. caespitose, not rhizomatous"
unknown,Rhizomatous_perennial_forb,d_141_herb_09,upfr,n_forbs,Native Forbs,NPF,no,,no,yes,no,no,no,no,yes,c3,"5merous flowers, drooping, 5 sepals fused halfway up. 5 petals green at time of observation, but undeveloped still. 5 stamens, 6-angled stem, lvs: ovate, dark green, alternate, leafy stipules, acute, margins more or less entire, wavy"
Asteraceae,Podospermum,laciniatum,pola,i_lactucae,Introduced Lactucae,IAF,no,,yes,yes,no,no,no,no,no,c3,
Asteraceae,Taraxacum,officinale,taof,i_lactucae,Introduced Lactucae,IAF,no,,yes,yes,no,no,yes,no,no,c3,
Asteraceae,Tragopogon ,dubious,trdu,i_lactucae,Introduced Lactucae,IAF,no,,yes,no,no,no,yes,no,no,c3,
Asteraceae,Cirsium,arvense,ciar,ciar,Cirsium arvense,IPF,no,,yes,yes,no,no,no,no,yes,c3,
Asteraceae,Onopordium,acanthium,onac,onac,Onopordium acanthium,IPF,no,,yes,no,no,yes,no,no,no,c3,did not occur in june 2022 plots
Asteraceae,Lactuca,serriola,lase,lase,Lactuca serriola,IAF,no,,yes,no,no,no,yes,no,no,c3,
Brassicaceae,Sisymbrium,altissimum,sial,ia_brass,Introduced Brassicaceae,IAF,no,,yes,no,no,no,yes,no,no,c3,
Brassicaceae,Descurainia,sophia,deso,ia_brass,Introduced Brassicaceae,IAF,no,,yes,no,no,no,yes,no,no,c3,
Chenopodiaceae,Salsola,tragus,satr,satr,Salsola tragus,IAF,no,,yes,no,no,no,yes,no,no,c4,
Chenopodiaceae,Kochia,scoparia,kosc,kosc,Kochia scoparia,IAF,no,,yes,no,no,no,yes,no,no,c3,
Convolvulaceae,Convolvulus,arvensis,coar,coar,Convolvulus arvensis,IPF,no,,yes,yes,no,no,no,no,yes,c3,
Fabaceae,Medicago,sativa,mesa,mesa,Medicago sativa,Medicago sativa,yes,,yes,yes,no,no,no,no,no,c3,
Fabaceae,Melilotus,officinale,meof,meof,Melilotus officinale,IAF,no,,yes,no,no,no,yes,no,no,c3,
Poaceae,Bromus,tectorum,brte,ia_bromus,Introduced Annual Bromus,IAG,no,,yes,no,no,no,yes,yes,no,c3,
Poaceae,Secale,cereale,sece,sece,Secale cereale,IAG,no,,yes,no,no,no,yes,yes,no,c3,"sometimes referred to as ""wheat"" on data sheets"
Poaceae,Bromus,inermis,brin,brin,Bromus inermis,IPG,no,,yes,yes,no,no,no,yes,yes,c3,
Poaceae,Bromus,secalinus,brse,ia_bromus,Introduced Annual Bromus,AIG,no,,yes,no,no,no,yes,yes,no,c3,
Poaceae,Agropyron,cristatum,agcr,agcr,Agropyron cristatum,IPG,no,,yes,yes,no,no,no,yes,no,c3,did not occur in june 2022 plots
Zygophyllaceae,Tribulus,terrestris,trte,trte,Tribulus terrestris,IAF,no,,yes,no,no,no,yes,no,no,c3,
